"year","GD"
"1939",0.395558019367898
"1939",0.395306644140721
"1939",0.395525376875954
"1939",0.3955981403688
"1939",0.394959701207986
"1939",0.396229524009192
"1939",0.399727314695354
"1939",0.397190229263538
"1939",0.397447151501284
"1939",0.398874427337085
"1939",0.403908684649832
"1939",0.408376674523632
"1939",0.411079359854374
"1939",0.414967019596091
"1939",0.418421099632848
"1939",0.420655678595984
"1939",0.42310322841824
"1939",0.426150942452075
"1939",0.429351999690153
"1939",0.430896209001883
"1939",0.433571560900665
"1939",0.436811718648783
"1939",0.439871227462226
"1939",0.441286420994664
"1939",0.440543307508306
"1939",0.44026777502312
"1939",0.442133602257711
"1939",0.446645770844215
"1939",0.451584810205757
"1939",0.4546159119037
"1939",0.456593369067476
"1939",0.460528607039261
"1939",0.465163567766199
"1939",0.469421449865639
"1939",0.47441031647116
"1939",0.482968230471151
"1939",0.489489863725026
"1939",0.493324431820297
"1939",0.501033479364324
"1939",0.507854090365786
"1939",0.510653713911618
"1939",0.512463545495894
"1939",0.516500507784845
"1939",0.523190371985816
"1939",0.52839045567705
"1939",0.53149518074082
"1939",0.53573832795168
"1939",0.543490075763449
"1939",0.550363443958924
"1939",0.555389698449472
"1939",0.555911252080532
"1939",0.553528871865546
"1939",0.551340461624302
"1939",0.550696901488282
"1939",0.550792028790025
"1939",0.550403627457002
"1939",0.547078851302216
"1939",0.542743189369105
"1939",0.538564609082858
"1939",0.536114195698467
"1939",0.533186453907557
"1939",0.530906567548188
"1939",0.532013549038258
"1939",0.535044579452357
"1939",0.538010928287269
"1939",0.540331933739243
"1939",0.541768828401072
"1939",0.542639707119787
"1939",0.543301285835504
"1939",0.54497493672659
"1939",0.550178447990553
"1939",0.558813280098477
"1939",0.570887125140064
"1939",0.585158274256236
"1939",0.599983817578159
"1939",0.614142456885747
"1939",0.627104175857161
"1939",0.641078026959657
"1939",0.655774424278196
"1939",0.668765775307939
"1939",0.678954699828072
"1939",0.685698083720823
"1939",0.690217209091572
"1939",0.692160108886286
"1939",0.692999745428204
"1939",0.693742566120582
"1939",0.696974625298982
"1939",0.701150916938578
"1939",0.704622035578803
"1939",0.704931591395402
"1939",0.701732913824615
"1939",0.69693081529481
"1939",0.694238671412125
"1939",0.696511878364594
"1939",0.70266206505174
"1939",0.711759765697089
"1939",0.719550687435921
"1939",0.726258502911101
"1939",0.730990145697257
"1939",0.733148494716465

