"year","width"
1980,208.285714285714
1981,217.714285714286
1982,220.833333333333
1983,199.571428571429
1984,173.714285714286
1985,185.714285714286
1986,202.285714285714
1987,195
1988,242.571428571429
1989,168.166666666667
