year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1959,6.13251188359536,5.0853994944033,162
1960,4.07107950284653,3.49528174290857,121.333333333333
1961,4.42124741251592,5.06255386109093,130.6
1962,3.8486538535901,3.96002223257254,65.4
1963,3.22019304569411,2.89697849417021,69.4
1964,2.8486591329796,3.09255840326223,53.25
1965,3.03994356011987,2.52791879338856,68.3333333333333
1966,4.73179896687247,6.09619180292543,146.75
1967,3.9406673315513,3.37072118579946,173
1968,3.59831865259161,3.87856295553622,178.75
1969,2.80941570413991,3.66128343515585,169
1970,3.40819380465098,3.31781617923174,159.75
1971,2.88845194657425,2.58639618693671,143
1972,2.50310861280177,2.61208176725985,119.25
1973,3.86133327006068,5.09954242088601,147.666666666667
1974,3.46590200335181,3.68877355571716,136.75
1975,4.80811708111408,5.12371874398202,161.833333333333
1976,6.75376423000256,4.73211527948868,122
1977,4.1660905928494,4.22290843187176,162
1978,4.15858872130147,5.02247923668998,183.166666666667
1979,4.00671365601985,2.89591606637142,103.8
1980,2.5131058721047,3.48091778101656,163.285714285714
1981,3.64346974113905,4.03569801713102,184.166666666667
1982,5.50048924934196,4.45388582629078,151.333333333333
1983,2.62723600630141,2.93941555923085,127.8
1984,3.91577623513366,3.72075078506934,172
1985,2.97484948748624,4.15308248936565,113.8
1986,4.14440882214022,5.58101591511017,208.333333333333
1987,4.81064819792015,5.23448512781177,183.8
1988,3.91083876016142,4.11172220299746,237.666666666667
1989,3.54784297329253,3.1083721653767,158.6
1990,3.76082826901113,3.2823482392633,166.285714285714
1991,5.10968766497498,5.33548401055123,164.714285714286
1992,4.90032757055654,4.62422829877168,81.1666666666667
1993,2.71079096057519,2.54652304198018,120.333333333333
1994,3.45749280277279,2.97803295796335,119.8
1995,2.8286088088182,2.67380805235982,129.2
1996,4.77419797559597,3.97907061952146,157.666666666667
1997,5.62620607170455,4.77868792436766,119.166666666667
1998,3.01830754527027,3.06532180179166,104.666666666667
1999,2.51224927878623,2.35199325370187,155.5
2000,5.78021581715201,5.19595622885945,119
2001,3.21448621352925,3.9610181978188,93.5
2002,4.10304979285707,3.77455320848823,178.833333333333
2003,3.6311788085417,2.86383664011509,72.8571428571429
2004,5.58157828033112,4.32745643132177,165.5
