year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1939,NA,NA,NA
1940,NA,NA,NA
1941,6.17198035515923,5.10547768486882,137.8
1942,4.06718038721084,3.39096602989751,131.8
1943,3.72814882228714,3.03329258069411,86.1428571428571
1944,3.17876924534263,3.22929867829694,74.875
1945,2.57825487897032,2.56510688784284,60
1946,2.20508669253936,2.17306424905833,71.5
1947,2.34170333784926,2.36560443187024,50
1948,3.24863759026128,3.42309690493022,41.2857142857143
1949,1.45856032553633,1.46972230422823,29.875
1950,3.47168243021918,3.49721677859917,66.25
1951,2.31442107775959,3.34230865750882,85.75
1952,2.92564528065761,2.94164534183222,62.375
1953,3.05083974747795,2.52305622254239,90.7142857142857
1954,2.5441737460599,2.26134595254354,92.125
1955,3.001798224619,2.5202615842635,118
1956,3.15279485219139,3.16457793111763,135.857142857143
1957,3.74367297905696,2.87638810663237,108.714285714286
1958,2.43044515751722,2.63357938573559,85.125
1959,2.99040069453337,2.88406387101943,78.375
1960,3.29017091184476,3.286189460869,64.5
1961,2.84791625815496,3.30357690899889,98.5
1962,2.40085375348681,2.6850011595919,52.875
1963,3.13047067264975,2.88676845715382,121.571428571429
1964,2.48611537985137,2.81265930878567,54.875
1965,2.07301226617894,2.57210500257474,97.25
1966,3.84163284560827,3.04940869480825,134.75
1967,3.36678548499006,2.66885227647691,138.75
1968,4.00029693877159,4.60229765738108,167.5
1969,2.68704575585973,3.63949977415527,126.5
1970,2.94626935672736,3.274965108071,137.428571428571
1971,3.03489632101688,2.91612044654681,103.428571428571
1972,2.88052944226334,2.75818397021275,134.875
1973,3.54292323788436,3.73258721745447,110.625
1974,3.76009914700994,3.75131884835666,158.75
1975,4.68269938447704,4.21064174561903,163.25
1976,5.24701235889393,3.0540224308577,105.625
1977,5.41113282930077,5.40944313100688,208.5
1978,3.99640803374586,5.1447608529286,196.5
1979,3.27708252094541,4.24963955081145,152.25
1980,2.67647286169826,2.41363741518181,82.25
1981,3.81345720617468,3.97285253148226,142.25
1982,3.66914027794896,3.4838939139393,119.428571428571
1983,3.69307469677824,2.70978311166385,112.625
1984,3.64515734834766,3.40720805220028,155.375
1985,2.4702134733424,2.53387774213134,127.428571428571
1986,3.24778675172446,3.02947280583584,128.125
1987,2.85270287675552,2.59699214053145,66
1988,3.74524377456458,4.92545493047203,153.875
1989,4.25050944474684,4.23822571865144,138.25
1990,3.04723421607758,2.87527085656871,68
1991,2.69408150651894,2.67013612919855,101
1992,2.57961149744874,2.68039732452992,41.25
1993,4.11582035244867,4.59493822909446,120
1994,5.2767135880914,4.002316077779,114.125
1995,2.57164759010656,3.52008632754011,96.7142857142857
1996,5.67981937904551,4.17306425156663,128
1997,4.42227771748979,4.31755514187869,155.375
1998,2.60636754674182,2.9292961074569,54.75
1999,3.53409396797604,3.65757615847202,132.375
2000,6.33850096864715,3.94947852360077,97.6666666666667
2001,3.95716700935102,4.00335309028566,81.375
2002,4.93265783310382,4.53473211034548,140.625
2003,2.80067001206805,2.91454377922779,27.125
2004,3.53512689272298,3.4578276525721,69.25
