year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1982,NA,NA,NA
1983,6.80864432397013,3.09360064490088,167
1984,3.58002659491657,3.10028836478516,211.571428571429
1985,3.60854518124182,3.50854086984726,212.428571428571
1986,4.15195999132435,2.95986652657184,226.285714285714
1987,3.94407728856459,3.31776745318907,235.714285714286
1988,3.92514162843061,3.47365164807248,245.166666666667
1989,4.81483884067904,3.66091123993356,175.714285714286
1990,3.42925355138642,3.016810833428,169
1991,3.52285072410229,4.40628569015865,168.25
1992,4.21607021946053,3.77045492721484,149
1993,3.81153118739557,3.161064875998,178
1994,4.52393130053459,3.89701759580644,174.625
1995,4.05581800220517,2.97504169356512,134.75
1996,4.69530422909782,4.18271826839031,148.25
1997,5.46192484372561,4.67483552134655,132.375
1998,3.90705766915987,3.46418802937751,99.5714285714286
1999,5.40446925685196,3.78848030269119,139.25
2000,4.50820136022559,3.52686932332801,119.857142857143
2001,2.67097750988904,2.97780032030815,91.1428571428571
2002,3.56413261079027,3.38015926711361,142.833333333333
2003,2.68437748911976,3.02621107022182,57.1666666666667
2004,3.14436414388912,2.78363629551193,75
