year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1952,NA,NA,NA
1953,7.42716591473811,4.71539674352525,314.666666666667
1954,5.13141110447228,4.21144920612282,203.25
1955,6.0797899751939,5.59042688121167,316.666666666667
1956,4.77227201990037,4.47521597108855,257
1957,6.34862846235909,5.94638893012223,273.5
1958,4.60854898308938,4.12505941574976,255.285714285714
1959,4.54754320170323,4.40937964778716,177.714285714286
1960,4.047519448461,3.52029320025724,97.4285714285714
1961,2.68431870336012,2.54955234316867,126.166666666667
1962,3.5082836772939,3.6333065704664,81.7142857142857
1963,3.69907479374378,3.92279649856499,145
1964,3.44819874757583,3.00604272591572,113.166666666667
1965,2.71813953553767,3.3299509817173,139.166666666667
1966,3.7595624070196,3.49054148614396,215.142857142857
1967,3.63329789115013,4.09502173560068,211.666666666667
1968,4.70603734408669,4.07035916101838,240.428571428571
1969,3.99247149388859,4.420358689288,157.285714285714
1970,3.64759432474983,3.84368198720904,164.375
1971,4.27463280256629,4.70306534741706,169.333333333333
1972,4.13950848478509,3.86222964210232,178.5
1973,5.78045562713025,5.46476048027102,169.375
1974,5.89377105632169,6.31656935368178,163.25
1975,4.04577651053565,3.87550361472029,143.666666666667
1976,5.33711354033505,3.85104121835266,104.125
1977,3.92099230850799,3.21995194991974,112.142857142857
1978,5.73594705807766,5.27221271651083,173
1979,5.22654467521118,4.57762427519932,109.375
1980,3.51774098982982,3.94115796367547,127.625
1981,3.74994869874852,3.83380828069327,87.875
1982,3.96199980690197,4.26371029006726,84.1666666666667
1983,4.6054202403857,3.95249439020405,136.857142857143
1984,4.28108739066846,4.16668629870671,162.375
1985,4.34754372082644,5.35194381889153,182.75
1986,4.44126556816067,4.07851653104223,143.571428571429
1987,3.73373156003639,4.07060919907562,161.428571428571
1988,6.01736627227944,6.02105597865293,182.666666666667
1989,6.17713809968128,6.97118924845039,170
1990,4.76087091147372,5.27356298266182,146.625
1991,3.88219292468141,4.67262228289354,134.125
1992,5.9758121066963,5.84037891455367,81.6666666666667
1993,5.217540405277,5.620374747578,107.571428571429
1994,4.59613353446616,4.17370173111412,95.8
1995,4.53868576618176,4.95519915607009,112.2
1996,4.22566892315414,3.87047190495588,129
1997,5.6486214479343,6.04002680160308,163.166666666667
1998,4.29125808047597,4.13925373537215,128.666666666667
1999,4.91962802835501,5.01714611660785,156.8
2000,4.49833710514565,4.00797200812162,139
2001,4.93675934611595,4.85313676607967,131.5
2002,4.78544102529725,4.83553369667213,154.2
2003,6.66966032918308,6.77199483868835,58.8
2004,NA,NA,NA
