year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1963,NA,NA,NA
1964,NA,NA,NA
1965,2.81503685901721,2.40179422231144,197.6
1966,4.20641789250115,3.3557508229057,235.285714285714
1967,3.06841871519771,2.54623351417845,201.285714285714
1968,3.19961158736772,2.81515893331762,192.857142857143
1969,2.18137548118752,2.31741953310967,146.625
1970,3.05315760550701,2.88272758281069,151.5
1971,2.18268595153525,1.94639013096239,127.625
1972,1.69024310942986,1.87911627428149,109.25
1973,1.89416752557134,1.95193100520463,121.375
1974,2.39890373967305,2.81586805322282,111.5
1975,3.54618551372729,3.50998020466543,155.25
1976,5.31674389947935,2.46941009608577,128
1977,3.22966175472109,2.24715939320566,138.875
1978,2.84406224903396,1.96479739902878,164.5
1979,3.01675622523428,2.79572469706835,153.25
1980,1.91872390930354,1.89285111270687,148.125
1981,2.77297217545449,2.10941899138442,146.125
1982,3.46856554211622,2.64918201017718,123.125
1983,2.7868232551378,2.35153313341303,105.75
1984,2.29597637336752,2.8566545963372,126.125
1985,3.21109789472451,3.10492777983294,123.625
1986,2.101787684476,2.61666735215714,123.875
1987,2.39378108455568,3.86013789182831,127.625
1988,2.90556901752735,2.45139604013783,153.125
1989,3.45421892116005,3.20480888379241,121.375
1990,1.7004968101064,1.88318212200184,93.125
1991,1.91070690631382,3.08295157057939,88.25
1992,1.92075623582221,1.72774223796638,44.875
1993,1.93631544363237,1.91549264313638,71.1428571428571
1994,2.67019045913246,3.68849423137978,86.75
1995,2.38892359776903,2.97183773678316,86.375
1996,4.78233540351267,4.66459470819404,123.25
1997,4.86047953521874,4.34682368862783,171.428571428571
1998,3.06021980070571,3.83298102610949,138.571428571429
1999,2.44464751061035,1.9704859644416,114.833333333333
2000,3.23808059377142,2.41378021098605,84.1666666666667
2001,2.5781832882379,2.29927934000987,113.5
2002,3.2115616865146,3.41289504331051,103.428571428571
2003,3.29130490889174,2.04427560289577,27.4
