year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1973,NA,NA,NA
1974,5.77400330719859,5.12219118394908,168
1975,6.11069475180343,5.88193889864407,250.666666666667
1976,8.06305022536614,5.33686175475547,177.833333333333
1977,5.77113507788111,5.37546026328218,268.714285714286
1978,4.32275937573221,3.65898246981882,255.833333333333
1979,4.54786260518005,4.28968621457114,219.166666666667
1980,5.42853449531918,5.33671397899138,208.285714285714
1981,5.29826418502087,6.12939838597165,217.714285714286
1982,4.44442829489133,4.7261008644681,220.833333333333
1983,5.47299916359715,4.57359539639486,199.571428571429
1984,3.94290329873569,3.23514128837321,173.714285714286
1985,3.39622205145076,4.41143310566955,185.714285714286
1986,4.40123714980971,4.72466645244718,202.285714285714
1987,4.03749212220903,3.85156017685512,195
1988,5.31586264449686,4.94487473996192,242.571428571429
1989,4.19923040671416,5.9113217206459,168.166666666667
1990,3.78003393577365,3.40087944044897,141.714285714286
1991,3.20795818677974,4.33510470660368,113.428571428571
1992,4.22776457869667,4.34639908816289,88
1993,4.47881167690626,4.00613564603661,123.571428571429
1994,3.38390315255017,4.03560738272666,155.5
1995,4.5862867452375,4.67464029545471,200.857142857143
1996,5.16918322480992,4.91907531839952,217.571428571429
1997,6.69616778492751,5.82443055656458,242.571428571429
1998,4.30663148917197,4.41198369219021,157.428571428571
1999,4.219634240232,4.36195098346491,211.285714285714
2000,5.5386228830459,6.59661255580051,186.428571428571
2001,4.43875704501667,5.05170572883332,164.428571428571
2002,4.04836669682314,3.83381655322837,116.2
2003,6.05952915112686,6.85658616050088,56
2004,3.56669854443144,3.6115491637496,82.4
