year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1935,NA,NA,NA
1936,4.83572105024461,3.71775255674272,266
1937,4.75008934444222,3.27152305667966,220.333333333333
1938,NA,NA,NA
1939,2.9048966029953,2.58287591005926,219
1940,3.70579464404952,2.83998909781831,173.333333333333
1941,4.18122224734499,2.45448348718233,185.666666666667
1942,4.46948280498085,4.65429533256414,193.666666666667
1943,4.55535039890295,2.87389971364882,218.666666666667
1944,5.24060936191049,3.8455186152847,185
1945,2.3115251479874,1.91499638809698,155.666666666667
1946,2.7247902247136,2.76176469125518,168
1947,5.16246894476194,4.25104038814141,141.75
1948,3.16558882962888,4.27423651718588,220.666666666667
1949,5.85083123353766,4.59214577021994,149
1950,3.71364888104694,3.3081867123336,172.666666666667
1951,3.04852708726025,2.51280392778432,197.333333333333
1952,2.63461210699436,1.66780447427083,157
1953,3.77759668933807,3.63912902312828,189.75
1954,2.79286880160479,2.39228639288195,124.25
1955,2.95087531811961,2.6283942120702,152
1956,3.53654129483529,3.64287284470924,150
1957,5.75257467990795,3.20616598772838,110
1958,2.56329925979176,3.01809469292951,89.6666666666667
1959,4.09910079216902,3.51606813137333,95.6666666666667
1960,3.67725005749635,3.81996862667436,106.25
1961,3.09652717722141,2.90748506320613,120.5
1962,2.38423727796494,1.97645221546452,73.75
1963,2.94088640509974,2.44621545669519,122.666666666667
1964,1.88652551673142,2.05201247222117,66
1965,2.9225411264295,2.71249656493392,125.25
1966,2.94188324265152,2.54015203067656,124.666666666667
1967,4.52229621963189,4.23642908000924,172.333333333333
1968,6.24238769352566,3.44513705696518,220.333333333333
1969,3.74838047193286,4.24126366481262,138.666666666667
1970,4.76889868882082,4.05075735829449,194.666666666667
1971,2.54985376705615,2.76359911407176,71.5
1972,3.53336632582581,3.24059458289999,137
1973,3.82340090792257,3.06585631639528,115
1974,3.62495034002511,4.01756388012133,114.333333333333
1975,5.32981757375783,3.76132881847039,149
1976,5.54073394403471,3.90703965939709,73.5
1977,4.46454518275811,4.34950952647569,65.3333333333333
1978,5.71320483516809,6.05168102951191,194
1979,3.67564819890515,3.69806211147072,101.5
1980,1.47046350440429,1.55953774464272,83.25
1981,4.49178836548605,3.54664637270377,118
1982,3.80459805628599,3.45295455336247,104.25
1983,3.67976742495234,4.2084198926565,76.3333333333333
1984,2.64241665076991,2.56674984843928,122
1985,NA,NA,NA
1986,NA,NA,NA
1987,NA,NA,NA
1988,NA,NA,NA
1989,NA,NA,NA
1990,NA,NA,NA
1991,NA,NA,NA
1992,NA,NA,NA
1993,NA,NA,NA
1994,NA,NA,NA
1995,NA,NA,NA
1996,NA,NA,NA
1997,NA,NA,NA
1998,NA,NA,NA
1999,NA,NA,NA
2000,NA,NA,NA
2001,NA,NA,NA
2002,NA,NA,NA
2003,NA,NA,NA
2004,NA,NA,NA
