year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1975,NA,NA,NA
1976,5.99300194079536,3.40631743869865,196.666666666667
1977,3.93998628994127,3.58041006253709,182.5
1978,3.65800171266431,3.68787284350888,213.5
1979,3.53430910114231,3.25758082128574,193
1980,3.42888296448206,3.22836708599262,169
1981,3.57302961170301,3.09879238375794,166.333333333333
1982,2.91814315074809,3.14315911644942,159.5
1983,3.17337084922553,2.99161281166835,111
1984,2.55388890817311,3.02737927323747,127.5
1985,3.03659478779237,3.19412478880603,133.5
1986,2.280766863995,2.80730221742131,112.833333333333
1987,2.38837392807322,3.45965055648,109.833333333333
1988,2.79440422717873,2.21755727559418,130.2
1989,2.89565072009198,2.59628896415186,110
1990,2.03027274734049,1.98902737406449,103.666666666667
1991,1.84796917283594,1.73792675703533,76.1666666666667
1992,1.778553973101,1.75601945414931,74.5
1993,2.11889372826414,3.63982806056675,83.8333333333333
1994,2.22495035280558,2.06972275688394,81.6666666666667
1995,1.95326889602045,1.62515369214152,87
1996,3.3693724255837,3.51421696992322,113.6
1997,2.17324219437821,2.69949400194791,131.4
1998,2.65964697093011,3.42818843044351,132.5
1999,2.29662863662354,2.30841265799409,128
2000,2.50586160770767,2.36608627407241,115.6
2001,2.2880154051396,2.3354144486481,112.5
2002,2.02263516801103,1.88038624351261,90.8
2003,2.0372017670368,1.8242900128352,44.4
2004,1.93351000026724,2.1556345382108,58.2
