year,normMeanDistPreAlign,normMeanDistPostAlign,meanNumPoints
1928,2.22416141020194,1.84491513795276,125
1929,2.93965050775195,2.88846522197165,141.5
1930,3.09077161903632,2.50850428312751,121.333333333333
1931,2.35410499115541,2.40362453178759,129
1932,2.14987542819509,2.06517129642195,115
1933,2.01311966639328,1.8745244495517,99.2
1934,2.79632873910393,1.65447896508957,73.5
1935,1.87961344932907,1.71038131830945,66.625
1936,1.85393563778945,2.13884633288317,61.8571428571429
1937,3.28593712258578,3.55115195522404,94.2857142857143
1938,3.57062908757312,3.73806914397249,101.714285714286
1939,2.87385169798474,4.14992529382194,113.571428571429
1940,2.63514122399833,3.68937228057261,104.142857142857
1941,3.00204095347632,3.44330069799527,111.333333333333
1942,4.04647360922788,6.05546830090693,128.4
1943,4.19291396069129,3.94184221774226,143.75
1944,2.68520617203623,2.7729277225943,111.714285714286
1945,3.81770054034175,4.16264388955386,127.714285714286
1946,2.85810355587473,4.01245803944442,121.125
1947,4.02005388070246,4.94375001949505,110.571428571429
1948,3.1192727571778,4.73037887804203,82.7142857142857
1949,1.74848696257902,2.1154900826367,52.8333333333333
1950,4.14394999252125,5.12521096089899,150.333333333333
1951,3.26150147682001,3.93580555838678,137.625
1952,2.69415799366803,2.45348354201445,116.75
1953,3.11021345567803,4.25621377754583,121.625
1954,2.91922232234983,3.60877189127001,106.333333333333
1955,3.17668520917973,4.73933821522272,131.5
1956,4.81942110149704,5.47563797213654,148.285714285714
1957,7.5652568464801,7.41523992266193,190.571428571429
1958,3.88145068656676,4.16990592336156,167
1959,6.94773975307926,4.21387206279411,158.75
1960,4.40803852796622,3.70707477843499,169.875
1961,5.24297319988268,5.19942776950098,169.142857142857
1962,3.61909840450703,3.61190297303594,92.625
1963,3.64659703986125,2.73214712561961,132.714285714286
1964,2.42231107483454,2.11903485653285,84.8571428571429
1965,3.09134345554324,3.3431394705639,129
1966,4.32147872164557,4.27419573104375,170.5
1967,3.83198547616633,3.83307511521351,176.571428571429
1968,4.06624487396982,4.23152505377181,198.285714285714
1969,3.09023021195512,3.73355578046857,136.857142857143
1970,4.22010550164039,3.94379949740378,165.5
1971,2.89174700524224,2.64726827082496,143.571428571429
1972,4.22410200584632,4.20885076328511,165
1973,4.03468321902437,4.01834136911521,122.75
1974,3.46028555759069,2.89175779038606,133.25
1975,3.70532236944573,4.09808268162588,118.75
1976,4.26185522464716,3.66971612632455,50.75
1977,3.97976770504691,4.99821529359262,102.714285714286
1978,4.54222556858891,4.56869340488308,106.285714285714
1979,3.28353689609615,2.91000984483661,75.2857142857143
1980,2.61577939024081,3.26166392673578,79
1981,3.49574421581297,3.27830398959148,91.1428571428571
1982,3.09855515638412,3.14814920647176,111.4
1983,2.28089878583881,1.91994297018723,94.6666666666667
1984,3.04342395276473,2.8561596959065,77.1666666666667
1985,2.27525258652105,3.16424015647626,98.5
1986,2.33498807740332,2.22112980335512,68.2
1987,4.00752659376113,5.44703030449775,108
1988,3.08142233568506,3.91563499688544,127.666666666667
1989,3.41850565863756,3.07470978976833,110.833333333333
1990,2.42342323323772,2.37780404779594,89.3333333333333
1991,2.67885857404969,3.15324991133216,68.4
1992,2.56595918243222,2.17891433894355,38.5
1993,1.95067020260099,2.38577347967955,63.75
1994,2.48776063067438,2.80010426552393,65.5
1995,3.07984489155658,2.7174898620332,50
1996,2.8739124226752,2.77779933438867,40.3333333333333
1997,3.6753847277923,3.86751515473112,86
1998,3.49145902724913,3.15348879505682,103
1999,2.17561665016892,2.15810992455248,117.666666666667
2000,4.35415104916125,3.68204521532511,77.3333333333333
2001,2.88659737322049,2.75101745458971,101.666666666667
2002,NA,NA,NA
2003,NA,NA,NA
