"year","density","characteristic"
1916,0.261023945107524,99.3
1916,0.261379396721844,99.3
1916,0.261038533566664,99.3
1916,0.260118091954686,99.3
1916,0.259937943477355,99.3
1916,0.259743533241183,99.3
1916,0.259536782570562,99.3
1916,0.259312812102684,99.3
1916,0.258495982799339,99.3
1916,0.25729762043257,99.3
1916,0.255867738046381,99.3
1916,0.253933979713361,99.3
1916,0.250861378611372,99.3
1916,0.244575641688524,99.3
1916,0.240866677357212,99.3
1916,0.238276939166077,99.3
1916,0.236362099362429,99.3
1916,0.233889049751874,99.3
1916,0.232684272915231,99.3
1916,0.23428989612001,99.3
1916,0.235023494402539,99.3
1916,0.236109050031427,99.3
1916,0.237970488721249,99.3
1916,0.23976351215175,99.3
1916,0.241471947533586,99.3
1916,0.242966968815773,99.3
1916,0.244113981345739,99.3
1916,0.245061011754264,99.3
1916,0.245733675262472,99.3
1916,0.246475093189683,99.3
1916,0.247277580765321,99.3
1916,0.248332244499173,99.3
1916,0.249275200345567,99.3
1916,0.250069049966513,99.3
1916,0.25062240277736,99.3
1916,0.251106639665375,99.3
1916,0.251546357581371,99.3
1916,0.251953240970747,99.3
1916,0.252507552360388,99.3
1916,0.253082770411978,99.3
1916,0.253790172065374,99.3
1916,0.254616169838043,99.3
1916,0.255575985523133,99.3
1916,0.256547738898652,99.3
1916,0.257270421132516,99.3
1916,0.257734756899199,99.3
1916,0.258177151255539,99.3
1916,0.258739847476178,99.3
1916,0.259680358818721,99.3
1916,0.260962286902544,99.3
1916,0.262373402461018,99.3
1916,0.263874600879563,99.3
1916,0.265457438880986,99.3
1916,0.267605146174458,99.3
1916,0.269832626530327,99.3
1916,0.271801610603767,99.3
1916,0.27359805763041,99.3
1916,0.275559724336599,99.3
1916,0.278182652036033,99.3
1916,0.282066347449207,99.3
1916,0.286583312440347,99.3
1916,0.291066374578312,99.3
1916,0.295399162940139,99.3
1916,0.299421758917292,99.3
1916,0.302793140823418,99.3
1916,0.305783162065646,99.3
1916,0.307913470075832,99.3
1916,0.310043778086018,99.3
1916,0.311524563322392,99.3
1916,0.312847303532401,99.3
1916,0.314053256862349,99.3
1916,0.314454447309095,99.3
1916,0.314629354575707,99.3
1916,0.314752980518264,99.3
1916,0.315919305734405,99.3
1916,0.316909695885405,99.3
1916,0.317905912893569,99.3
1916,0.319568839150463,99.3
1916,0.321306102788936,99.3
1916,0.323263073294367,99.3
1916,0.324905597955958,99.3
1916,0.326550070432505,99.3
1916,0.328201824679255,99.3
1916,0.329747699722718,99.3
1916,0.331322957957367,99.3
1916,0.333080359556108,99.3
1916,0.335279309855851,99.3
1916,0.337611681454623,99.3
1916,0.340456140763685,99.3
1916,0.343315037937278,99.3
1916,0.345828506075075,99.3
1916,0.348347522164944,99.3
1916,0.350521423639255,99.3
1916,0.352611893905519,99.3
1916,0.354720609389478,99.3
1916,0.356588533517986,99.3
1916,0.358678840231117,99.3
1916,0.360961022258231,99.3
1916,0.362860780999183,99.3
1916,0.364832856642232,99.3
1916,0.366728171040338,99.3
1916,0.368492183388045,99.3
1916,0.370256195735751,99.3
1916,0.372899109226593,99.3
1916,0.375907096499029,99.3
1916,0.379634637995747,99.3
1916,0.383767645236005,99.3
1916,0.388510990293391,99.3
1916,0.393627576835396,99.3
1916,0.399155290968266,99.3
1916,0.405573826062986,99.3
1916,0.411470708729871,99.3
1916,0.416827673294941,99.3
1916,0.42246446224345,99.3
1916,0.428240944155068,99.3
1916,0.433930730908871,99.3
1916,0.439593528309736,99.3
1916,0.444675470748925,99.3
1916,0.44963032204172,99.3
1916,0.454056714867034,99.3
1916,0.45757442198584,99.3
1916,0.459541502969845,99.3
1916,0.461882879555161,99.3
1916,0.464536607934416,99.3
1916,0.4675846704451,99.3
1916,0.470785534816052,99.3
1916,0.475429821399868,99.3
1916,0.480186594553594,99.3
1916,0.484241305032656,99.3
1916,0.488190023881316,99.3
1916,0.491816621522907,99.3
1916,0.494819071789656,99.3
1916,0.496970830276008,99.3
1916,0.498653310314959,99.3
1916,0.50002139041792,99.3
1916,0.501243968945249,99.3
1916,0.502424167691959,99.3
1916,0.504412968022449,99.3
1916,0.506459806059364,99.3
1916,0.508614663119487,99.3
1916,0.510505725656844,99.3
1916,0.511785026236229,99.3
1916,0.513353412939517,99.3
1916,0.515238883511955,99.3
1916,0.517755498020246,99.3
1916,0.520608203097931,99.3
1916,0.523633156470499,99.3
1916,0.526694672303729,99.3
1916,0.529972673456019,99.3
1916,0.533313724117861,99.3
1916,0.536943213400087,99.3
1916,0.540572702682313,99.3
1916,0.543296167770415,99.3
1916,0.545701814199273,99.3
1916,0.547156846197705,99.3
1916,0.547357029232301,99.3
1916,0.547457033478407,99.3
1916,0.547518628451415,99.3
1916,0.547311761838672,99.3
1916,0.547515195250285,99.3
1916,0.547827041730178,99.3
1916,0.547961154712894,99.3
1916,0.548114309325722,99.3
1916,0.54822090211075,99.3
1916,0.547587076362074,99.3
1916,0.546953250613397,99.3
1916,0.546772435761507,99.3
1916,0.546807508828143,99.3
1916,0.547016861345019,99.3
1916,0.547596670648335,99.3
1916,0.54818248208453,99.3
1916,0.548916880766531,99.3
1916,0.549704485243971,99.3
1916,0.55094614737398,99.3
1916,0.552381436366392,99.3
1916,0.55389157815846,99.3
1916,0.555957368510984,99.3
1916,0.55783917291389,99.3
1916,0.558844000379167,99.3
1916,0.559787581790436,99.3
1916,0.559467070670036,99.3
1916,0.558342575999938,99.3
1916,0.557073139402183,99.3
1916,0.555148400819222,99.3
1916,0.55322366223626,99.3
1916,0.551762993003363,99.3
1916,0.550372837555949,99.3
1916,0.549763246052671,99.3
1916,0.54995969998363,99.3
1916,0.550118841027385,99.3
1916,0.54986309231687,99.3
1916,0.549715972797299,99.3
1916,0.549926905150145,99.3
1916,0.550224675488775,99.3
1916,0.550890013085537,99.3
1916,0.551590533990113,99.3
1916,0.552369540022179,99.3
1916,0.553138099232743,99.3
1916,0.553906658443307,99.3
1916,0.554856796192665,99.3
1916,0.555988417190398,99.3
1916,0.557255868977321,99.3
1916,0.559007236800777,99.3
1916,0.560857910234131,99.3
1916,0.562800210794053,99.3
1916,0.565100125423342,99.3
1916,0.567389682260941,99.3
1916,0.569783362547075,99.3
1916,0.572663353797171,99.3
1916,0.575635946872201,99.3
1916,0.578922542817087,99.3
1916,0.583742129244124,99.3
1916,0.588611264030882,99.3
1916,0.594299181095788,99.3
1916,0.600418496972754,99.3
1916,0.606579023636546,99.3
1916,0.613445004065268,99.3
1916,0.620358557941414,99.3
1916,0.627302126724675,99.3
1916,0.63474939947041,99.3
1916,0.642005661320558,99.3
1916,0.649514338132247,99.3
1916,0.657706231966652,99.3
1916,0.666198722980671,99.3
1916,0.675386617739632,99.3
1916,0.685327568152318,99.3
1916,0.695343220664366,99.3
1916,0.70620858018888,99.3
1916,0.717235478421373,99.3
1916,0.728618408590868,99.3
1916,0.742582570303629,99.3
1916,0.756366148953948,99.3
1916,0.769711898858537,99.3
1916,0.782458132759494,99.3
1916,0.794296312747559,99.3
1916,0.805608442741313,99.3
1916,0.816616378607922,99.3
1916,0.827681015827647,99.3
1916,0.8385616128564,99.3
1916,0.851129621529542,99.3
1916,0.864311112596333,99.3
1916,0.880815058786514,99.3
1916,0.898012821846585,99.3
1916,0.917337912028721,99.3
1916,0.937439114007587,99.3
1916,0.958346753619524,99.3
1916,0.979936894498983,99.3
1916,1.00207195293776,99.3
1916,1.0207512410496,99.3
1916,1.03871870935988,99.3
1917,0.272647039853794,96.0416666666665
1917,0.274417949398081,96.0416666666665
1917,0.276188858942367,96.0416666666665
1917,0.278386597131015,96.0416666666665
1917,0.28064404435602,96.0416666666665
1917,0.282664732240508,96.0416666666665
1917,0.284608406139563,96.0416666666665
1917,0.286510351686879,96.0416666666665
1917,0.288387982263589,96.0416666666665
1917,0.28999695098842,96.0416666666665
1917,0.29134687343381,96.0416666666665
1917,0.292486604402333,96.0416666666665
1917,0.293292536665958,96.0416666666665
1917,0.293923616699102,96.0416666666665
1917,0.294066391007811,96.0416666666665
1917,0.294177399300443,96.0416666666665
1917,0.294094792739911,96.0416666666665
1917,0.294026162416974,96.0416666666665
1917,0.294710579793152,96.0416666666665
1917,0.295394997169329,96.0416666666665
1917,0.296394550917901,96.0416666666665
1917,0.297430879744992,96.0416666666665
1917,0.298920540028036,96.0416666666665
1917,0.30054199045343,96.0416666666665
1917,0.302149891919455,96.0416666666665
1917,0.30377882465189,96.0416666666665
1917,0.305435958712752,96.0416666666665
1917,0.307209001028576,96.0416666666665
1917,0.309000903422716,96.0416666666665
1917,0.310964932462766,96.0416666666665
1917,0.312806692052484,96.0416666666665
1917,0.314471619696481,96.0416666666665
1917,0.315601355969251,96.0416666666665
1917,0.316166392670833,96.0416666666665
1917,0.316190195626093,96.0416666666665
1917,0.316242938529914,96.0416666666665
1917,0.316340871051392,96.0416666666665
1917,0.31650410635658,96.0416666666665
1917,0.316537369699964,96.0416666666665
1917,0.316608778145376,96.0416666666665
1917,0.316739043454031,96.0416666666665
1917,0.316968667409081,96.0416666666665
1917,0.317411284612727,96.0416666666665
1917,0.318136902252102,96.0416666666665
1917,0.319778572010813,96.0416666666665
1917,0.321596557240763,96.0416666666665
1917,0.323736839908406,96.0416666666665
1917,0.325947820522233,96.0416666666665
1917,0.328191712899451,96.0416666666665
1917,0.330406714899415,96.0416666666665
1917,0.332580406954369,96.0416666666665
1917,0.334533427061136,96.0416666666665
1917,0.336542351601851,96.0416666666665
1917,0.338671198080664,96.0416666666665
1917,0.341007505093292,96.0416666666665
1917,0.343590300021582,96.0416666666665
1917,0.346577623049643,96.0416666666665
1917,0.349760742994507,96.0416666666665
1917,0.353129994284043,96.0416666666665
1917,0.356559207602543,96.0416666666665
1917,0.360235165147444,96.0416666666665
1917,0.36388302414235,96.0416666666665
1917,0.367396611259518,96.0416666666665
1917,0.370674135515265,96.0416666666665
1917,0.372889767455388,96.0416666666665
1917,0.374930962823428,96.0416666666665
1917,0.376809477551307,96.0416666666665
1917,0.378511255720806,96.0416666666665
1917,0.379829057361061,96.0416666666665
1917,0.380882001820924,96.0416666666665
1917,0.381824059540434,96.0416666666665
1917,0.382704849243273,96.0416666666665
1917,0.383117364117168,96.0416666666665
1917,0.383614134865831,96.0416666666665
1917,0.384224950057459,96.0416666666665
1917,0.38576444385991,96.0416666666665
1917,0.387568616362726,96.0416666666665
1917,0.390532524320757,96.0416666666665
1917,0.393660961464144,96.0416666666665
1917,0.397062200488988,96.0416666666665
1917,0.400633291707548,96.0416666666665
1917,0.404277130226348,96.0416666666665
1917,0.406916827559618,96.0416666666665
1917,0.409300431637633,96.0416666666665
1917,0.410485300498944,96.0416666666665
