"year","density","characteristic"
1918,0.150248881296719,85.5
1918,0.153453766922361,85.5
1918,0.156214202718527,85.5
1918,0.162340054984323,85.5
1918,0.173752178099786,85.5
1918,0.18491088002109,85.5
1918,0.191022744505048,85.5
1918,0.198192633994886,85.5
1918,0.207859608335666,85.5
1918,0.215979197780565,85.5
1918,0.223659544055211,85.5
1918,0.230490841046816,85.5
1918,0.239769764584085,85.5
1918,0.25080682120186,85.5
1918,0.259967155278958,85.5
1918,0.268281389459436,85.5
1918,0.273382062388449,85.5
1918,0.276743674425537,85.5
1918,0.278956121800621,85.5
1918,0.280750453822604,85.5
1918,0.28318359679995,85.5
1918,0.288237361354645,85.5
1918,0.295243866509797,85.5
1918,0.302338200068408,85.5
1918,0.307865807521956,85.5
1918,0.310634082914854,85.5
1918,0.312074259519056,85.5
1918,0.313169732256573,85.5
1918,0.314403309910414,85.5
1918,0.316466561699092,85.5
1918,0.319248388392856,85.5
1918,0.3231767257021,85.5
1918,0.32833787359248,85.5
1918,0.333879848912211,85.5
1918,0.33764181826142,85.5
1918,0.339410001025581,85.5
1918,0.342211208389792,85.5
1918,0.345455069914728,85.5
1918,0.348265187229789,85.5
1918,0.350392302413006,85.5
1918,0.352985131503596,85.5
1918,0.357082514010734,85.5
1918,0.362164016318561,85.5
1918,0.367017933589664,85.5
1918,0.369146252649343,85.5
1918,0.369250499484012,85.5
1918,0.369893523511813,85.5
1918,0.372092607758481,85.5
1918,0.373981159150582,85.5
1918,0.374769141803541,85.5
1918,0.375499222727914,85.5
1918,0.378680669107299,85.5
1918,0.383779194111718,85.5
1918,0.388198372511054,85.5
1918,0.38982713572347,85.5
1918,0.388452910089313,85.5
1918,0.38617126978637,85.5
1918,0.383450767386821,85.5
1918,0.380592313245001,85.5
1918,0.378896461465076,85.5
1918,0.377243162039482,85.5
1918,0.376818656557878,85.5
1918,0.380602218604739,85.5
1918,0.386350826413195,85.5
1918,0.389550489550145,85.5
1918,0.390403082779386,85.5
1918,0.393413896116092,85.5
1918,0.399815068946218,85.5
1918,0.410208826604908,85.5
1918,0.419718273419709,85.5
1918,0.428536505029024,85.5
1918,0.439693881524941,85.5
1918,0.448504481096546,85.5
1918,0.45582515880402,85.5
1918,0.458377656518533,85.5
1918,0.462949364782918,85.5
1918,0.47306865141918,85.5
