year,density
1934,1.03820287309649
1935,1.0541979318444
1936,0.88358397186673
1937,1.01954197122394
1938,0.979554324354169
1939,0.726832396137244
1940,0.996615720351935
1941,0.985952347853331
1942,0.999814732101519
1943,0.929169889298264
1944,0.870787924868404
1945,1.00354691247603
1946,1.02354073591091
1947,0.772975067557243
1948,0.976984001928804
1949,0.979268099763185
1950,0.99211393799499
1951,0.969031262164525
1952,0.961968540698706
1953,0.994762196725469
1954,0.733421544677609
1955,0.896239056205819
1956,0.853911271363497
1957,0.889835846119835
1958,0.95177682767579
1959,0.869232811605306
1960,0.933227481156217
1961,0.832453775411995
1962,0.947971567306443
1963,0.89870268494573
1964,0.951856181183747
1965,1.01961058953028
1966,0.904719996900485
1967,0.92271644255045
1968,0.763034022131599
1969,0.967037428229099
1970,0.827469689447116
1971,0.982286730793693
1972,0.862320010840966
1973,0.888720492506732
1974,0.892548368525874
1975,0.839388148660373
1976,0.876091766052184
1977,0.770102756115301
1978,0.770921558364186
1979,0.93896055171846
1980,0.946605007916755
1981,0.946559183835274
1982,0.928302712547059
1983,0.940197466443857
1984,0.911995494459202
1985,0.93493509549494
1986,0.885281415881442
1987,0.866899098886508
1988,0.777539261055188
1989,0.856958859778419
1990,0.997958130452222
1991,0.912422340747485
1992,0.976504861308596
1993,0.844867163770621
1994,0.92310915019564
1995,0.8976585137868
1996,0.789805570971824
1997,0.892396970191724
1998,1.01170955031445
1999,0.930102581361583
2000,1.01306528660866
2001,0.994222854197371
2002,0.81637842353579
2003,0.828933294246946
2004,1.07507670574334
