year,density
1972,0.712166256902021
1973,1.075360812686
1974,1.02898597380866
1975,1.03514242470537
1976,1.02892013795314
1977,0.963217877077048
1978,1.05932448107263
1979,1.23367747275063
1980,1.27853374607129
1981,1.14090732941766
1982,1.34174989597442
1983,1.22760859069573
1984,1.10875929938039
1985,1.29691170549329
1986,1.18896445847795
1987,1.11111901002855
1988,1.08001916360431
1989,1.17373960177958
1990,1.19424088950855
1991,1.01365196735946
1992,1.27039484317683
1993,1.07062165711781
1994,1.1723073376567
1995,0.872271352419302
1996,0.836764279426938
1997,1.07004106776008
1998,1.21105491309663
1999,1.13347551716489
2000,1.22110772303772
2001,1.21171630710424
2002,0.991377322536244
2003,0.910272004351115
2004,1.34385481508502
