year,density
1918,1.10704804427362
1919,1.22510626047651
1920,1.26919634223832
1921,1.2962437742376
1922,0.928585583242324
1923,1.34393293744311
1924,1.18934584513111
1925,1.06011708089694
1926,1.25128233567842
1927,1.19024046361305
1928,1.32154730703782
1929,1.22324978092521
1930,1.28794388712005
1931,0.912932138903429
1932,1.32941730843005
1933,1.31894808415983
1934,1.43562916821221
1935,1.42652322064989
1936,1.24383592259238
1937,1.45944738890788
1938,1.13087913492275
1939,0.826704384648164
1940,1.10689206021275
1941,1.0370224983989
1942,1.41733397864584
1943,1.40848448313055
1944,1.23788969737955
1945,1.54293200579946
1946,1.47640526584419
1947,1.08257322063895
1948,1.4779329765279
1949,1.55710954218979
1950,1.40245298163488
1951,1.13196883994488
1952,1.28026694694749
1953,1.3769473030107
1954,1.00009371265903
1955,1.16536585798771
1956,1.1174187108313
1957,1.155592731
1958,1.24539912693042
1959,1.42074369514669
1960,1.04437377970752
1961,1.22957043597205
1962,1.37330677171812
1963,1.0603336195526
1964,1.25871593246859
1965,1.16843697300451
1966,1.23491279440557
1967,1.30186984083613
1968,1.04303135578397
1969,1.4021682621129
1970,0.992183985783714
1971,1.41938369758657
1972,0.97036408986108
1973,1.20636330532701
1974,1.10707328991283
1975,1.35275640293445
1976,1.21857889587947
1977,1.30597152960968
1978,1.01282374798695
1979,1.29122088140789
1980,1.14317711156644
1981,1.5990055538901
1982,1.19526129757292
1983,1.24033573070532
1984,1.06497546211914
1985,1.55517232265014
1986,1.24118329772788
1987,1.23589436490014
1988,1.14649222355731
1989,1.36858767730041
1990,1.49388214384877
1991,1.42744488427187
1992,0.716027106817379
1993,1.35131538895495
1994,1.55813204034075
1995,1.33853535450595
1996,0.935030800898988
1997,1.45406608820905
1998,1.40617866955322
1999,1.46959131614004
2000,1.47004769932822
2001,1.33263546206577
2002,1.43217622005489
2003,0.456188829255525
