year,density
1974,0.939657954589696
1975,0.866945017318382
1976,0.979380365367105
1977,0.916767169962414
1978,0.885021426349033
1979,0.929554681198088
1980,0.898258687045337
1981,0.985033945855022
1982,0.962761333971491
1983,0.950716181428489
1984,0.925449085293217
1985,0.950553663630286
1986,0.918443495273936
1987,0.917983784496505
1988,0.916203220710409
1989,0.94602692232436
1990,0.965131957987771
1991,0.891751952242075
1992,0.912997664047585
1993,0.994949393815564
1994,1.03389492494531
1995,0.924987059119884
1996,0.73955186514525
1997,0.939640320814781
1998,0.997274673362114
1999,0.98867432278932
2000,0.960897675337479
2001,1.00116363216908
2002,0.916283794862134
2003,0.766169807958077
2004,0.936228207297632
