year,density
1928,1.46781166883959
1929,1.36416775290764
1930,1.31267823533627
1931,1.15797336419328
1932,1.41469705516256
1933,1.43212064679104
1934,1.51449394542979
1935,1.43844935900311
1936,1.22953241804906
1937,1.30693464226758
1938,1.16471530853478
1939,0.899498808351185
1940,1.13110292634028
1941,1.12214372837729
1942,1.30562651506741
1943,1.30701296180111
1944,1.21504724031262
1945,1.40643980555032
1946,1.31523280420191
1947,0.977240197479128
1948,1.25311956351795
1949,1.61664188086903
1950,1.20826836561494
1951,1.1795471733348
1952,1.36505243881208
1953,1.32322255022551
1954,1.02402653057265
1955,1.14180682426599
1956,1.06702454696897
1957,0.821618005029639
1958,1.04173961404921
1959,1.08284024337288
1960,1.06460122714128
1961,1.06640014960261
1962,1.1480948164975
1963,1.25512253011614
1964,1.39543855244107
1965,1.14075481832448
1966,1.24035675952101
1967,1.04908803859488
1968,1.01444443889915
1969,1.18455445358412
1970,1.02927098688338
1971,1.40624237109569
1972,0.912313307588177
1973,1.17982579750345
1974,0.937576966361484
1975,1.11636204462386
1976,1.11018355468087
1977,1.07691293512573
1978,0.909105969896766
1979,1.13034380839898
1980,1.11450454428245
1981,1.32455486540545
1982,1.1403448839319
1983,1.4045304290076
1984,1.03919634164782
1985,1.4429789844202
1986,1.33418552300438
1987,1.18868980807111
1988,1.15558423177165
1989,1.31186286903084
1990,1.41353059696242
1991,1.18259819350256
1992,1.29871197112401
1993,1.23616218213946
1994,1.35899798168402
1995,1.29448011586337
1996,1.22222195184896
1997,1.38219207879388
1998,1.26492730627314
1999,1.17396662458835
2000,1.07176663481331
2001,0.94402028147974
