year,density
1965,1.13179020989969
1966,1.26878003477682
1967,1.28316177374231
1968,1.17313059000329
1969,1.4859504127814
1970,1.25999338369921
1971,1.53890923944632
1972,1.3422777332227
1973,1.44571314217598
1974,1.24445512849358
1975,1.37572363921899
1976,1.33309013206644
1977,1.23522327272443
1978,1.1833877122093
1979,1.4189010373363
1980,1.4746412979
1981,1.58076645110894
1982,1.48071551178422
1983,1.71810861063829
1984,1.26982714503757
1985,1.69451057207931
1986,1.5140585834829
1987,1.27520014557971
1988,1.20525296091955
1989,1.49042584475684
1990,1.64793925491979
1991,1.61170895358026
1992,1.5215023551681
1993,1.48445129743111
1994,1.61054336913366
1995,1.47625362082746
1996,1.00845570803336
1997,1.59417214699342
1998,1.48740502725269
1999,1.49106244352383
2000,1.57427882807333
2001,1.52656149500879
2002,1.39540123469382
2003,0.655059568078288
