year,density
1975,1.13946312922249
1976,1.18656872138524
1977,1.13516165995312
1978,1.05962611784192
1979,1.33151548769197
1980,1.31538362064881
1981,1.29381456545175
1982,1.32875860887141
1983,1.18273017338551
1984,1.18193153600624
1985,1.45979502155905
1986,1.28383586122395
1987,1.07399200479436
1988,1.08237042419807
1989,1.22592345475947
1990,1.38557766600654
1991,1.43274295121155
1992,1.54604907559984
1993,1.04395171169119
1994,1.21323475661052
1995,1.1861326709519
1996,0.88682781152479
1997,1.33274481062064
1998,1.30989358139367
1999,1.26954781297504
2000,1.30902873029361
2001,1.32635789100956
2002,1.07078932253667
2003,0.862620241757012
2004,1.28389177031026
