year,density
1928,1.45325293991338
1929,1.40395894592667
1930,1.20581642107815
1931,0.876344064211137
1932,1.37151051851246
1933,1.36710926904935
1934,1.47306719239823
1935,1.51644107436202
1936,1.2641718110183
1937,1.48273268141523
1938,1.30694159991852
1939,0.912952103863028
1940,1.35514822639082
1941,1.27069601610477
1942,1.62843992834651
1943,1.65961113042634
1944,1.38668188430878
1945,1.72739037215806
1946,1.64003851516692
1947,1.57878347852167
1948,1.59400662372345
1949,1.75457456001838
1950,1.4080667787589
1951,1.43162640823784
1952,1.69223215585872
1953,1.57733365516912
1954,1.13296279761251
1955,1.29715529228881
1956,1.39139381020457
1957,1.56412990677983
1958,1.35804787309592
1959,1.76581069100064
1960,1.342462272056
1961,1.64003851516692
1962,1.48961934233984
1963,1.31434605489762
1964,1.60560521054385
1965,1.28628161714469
1966,1.45881059609815
1967,1.34258309066872
1968,1.33795746378201
1969,1.52948948453497
1970,1.22362853655234
1971,1.45591094939305
1972,1.00102887253045
1973,1.33920016951277
1974,1.06856647703674
1975,1.24931112165466
1976,1.24278691656818
1977,1.41604080719792
1978,1.19173242279624
1979,1.3366629786458
1980,1.2741652362698
1981,1.54134696838261
1982,1.46424743367021
1983,1.56863471505382
1984,1.17392030732205
1985,1.45601450820395
1986,1.30440440905156
1987,1.40371730870124
1988,1.22937605055709
1989,1.35079875633317
1990,1.48901524927628
1991,1.49976810580769
1992,1.18841854084755
1993,1.35038452108958
1994,1.54797473227998
1995,1.4572572139347
1996,1.06870455545127
1997,1.58691284517704
1998,1.49831828245514
1999,1.48563232812033
2000,1.46620469519616
2001,1.41583368957613
2002,1.32518521043811
2003,0.553395912430597
