year,density
1960,1.21117674814275
1961,1.2572407651986
1962,1.26725941666228
1963,1.29426621626004
1964,1.38002369482146
1965,1.22195768830476
1966,1.11779638259809
1967,1.28294078417066
1968,1.0956900103467
1969,1.42842902716502
1970,1.2207053568718
1971,1.42614216107005
1972,0.965828685667978
1973,1.23981702352263
1974,1.2576763587405
1975,1.17839833411483
1976,1.1936441080813
1977,1.05833786412884
1978,0.937133961095363
1979,1.2207053568718
1980,1.14142733224613
1981,1.32127301585779
1982,1.33542980596952
1983,1.2236274635487
1984,1.00581617281433
1985,1.22169633217962
1986,1.12237011478803
1987,1.11182512112789
1988,1.0154863494445
1989,1.28816790667345
1990,1.54490674026889
1991,1.40479807751698
1992,1.53972317712029
1993,1.38025238143096
1994,1.29350392756172
1995,1.34305269295276
1996,1.15461492672713
1997,1.51903248388007
1998,1.42004385148346
1999,1.59264779246105
2000,1.36439677650582
2001,1.38421628266224
2002,1.26290348124329
2003,1.21092265190998
2004,1.46458329114266
