year,relXinRing,GD
1994,0.98989898989899,0.76389708086816
1994,1,0.788473574155661
1995,0,0.20282337703365
1995,0.0101010101010101,0.192700222628807
1995,0.0202020202020202,0.18567300647434
1995,0.0303030303030303,0.179386289694676
1995,0.0404040404040404,0.174285277432746
1995,0.0505050505050505,0.168881742822155
1995,0.0606060606060606,0.16265417559007
1995,0.0707070707070707,0.159250280158286
1995,0.0808080808080808,0.161201507645612
1995,0.0909090909090909,0.170546828676875
1995,0.101010101010101,0.183643254823174
1995,0.111111111111111,0.195801553922727
1995,0.121212121212121,0.205745827545725
1995,0.131313131313131,0.215309424835922
1995,0.141414141414141,0.22743027390079
1995,0.151515151515152,0.24008078896894
1995,0.161616161616162,0.251206042181564
1995,0.171717171717172,0.257216787714925
1995,0.181818181818182,0.257380982737387
1995,0.191919191919192,0.251079761715927
1995,0.202020202020202,0.241041024053376
1995,0.212121212121212,0.22895262494849
1995,0.222222222222222,0.219957019318877
1995,0.232323232323232,0.215586674751453
1995,0.242424242424242,0.21619412163479
1995,0.252525252525253,0.217349858732603
1995,0.262626262626263,0.215947382341627
1995,0.272727272727273,0.209922523949028
1995,0.282828282828283,0.200243073032692
1995,0.292929292929293,0.194211408139315
1995,0.303030303030303,0.192881191461852
1995,0.313131313131313,0.19382949595396
1995,0.323232323232323,0.194802306720438
1995,0.333333333333333,0.197614454826672
1995,0.343434343434343,0.20210902765699
1995,0.353535353535354,0.206930318757916
1995,0.363636363636364,0.211614367835118
1995,0.373737373737374,0.215094066873223
1995,0.383838383838384,0.221801678269753
1995,0.393939393939394,0.225068855650656
1995,0.404040404040404,0.218170745688956
1995,0.414141414141414,0.218323572377291
1995,0.424242424242424,0.22449284513242
1995,0.434343434343434,0.232146599215018
1995,0.444444444444444,0.24411149627877
1995,0.454545454545455,0.25196675200766
1995,0.464646464646465,0.250940663285839
1995,0.474747474747475,0.250612243790821
1995,0.484848484848485,0.261975807990206
1995,0.494949494949495,0.270156915431875
1995,0.505050505050505,0.273510586428962
1995,0.515151515151515,0.275669717143194
1995,0.525252525252525,0.282159453383328
1995,0.535353535353535,0.287609929985708
1995,0.545454545454545,0.287142518397092
1995,0.555555555555556,0.284803605207411
1995,0.565656565656566,0.286066624741582
1995,0.575757575757576,0.28515761898106
1995,0.585858585858586,0.284395895499546
1995,0.595959595959596,0.283719901069754
1995,0.606060606060606,0.279611046083857
1995,0.616161616161616,0.274673569347117
1995,0.626262626262626,0.271129209028027
1995,0.636363636363636,0.272653878955018
1995,0.646464646464647,0.267692689507744
1995,0.656565656565657,0.259854952607867
1995,0.666666666666667,0.264318417347428
1995,0.676767676767677,0.278225322084878
1995,0.686868686868687,0.286382039606539
1995,0.696969696969697,0.293172767019127
1995,0.707070707070707,0.298750482363056
1995,0.717171717171717,0.30433683529461
1995,0.727272727272727,0.310880955444475
1995,0.737373737373737,0.3208149638084
1995,0.747474747474748,0.331301894221659
1995,0.757575757575758,0.342996209719706
1995,0.767676767676768,0.352152962698618
1995,0.777777777777778,0.359934990346735
1995,0.787878787878788,0.363276562409864
1995,0.797979797979798,0.364720012014904
1995,0.808080808080808,0.365162506142656
1995,0.818181818181818,0.370306921198359
1995,0.828282828282828,0.380730495274496
1995,0.838383838383838,0.396463732242857
1995,0.848484848484849,0.414550385987995
1995,0.858585858585859,0.436628464599865
1995,0.868686868686869,0.461437329969527
1995,0.878787878787879,0.484371070847612
1995,0.888888888888889,0.497528186101809
1995,0.898989898989899,0.493848489523309
1995,0.909090909090909,0.477499861636487
1995,0.919191919191919,0.45980224075616
1995,0.929292929292929,0.448366354335364
1995,0.939393939393939,0.44386971644716
1995,0.94949494949495,0.455504613452964
1995,0.95959595959596,0.484368037119925
1995,0.96969696969697,0.531018799742626
1995,0.97979797979798,0.597688221730136
1995,0.98989898989899,0.684258506460216
1995,1,0.76899210524155
1996,0,0.180091567655328
1996,0.0101010101010101,0.183707625575024
1996,0.0202020202020202,0.182834278706076
1996,0.0303030303030303,0.178303123681027
1996,0.0404040404040404,0.173221288014449
1996,0.0505050505050505,0.170848454191337
1996,0.0606060606060606,0.174099028963579
1996,0.0707070707070707,0.186206193530921
1996,0.0808080808080808,0.197876697870526
1996,0.0909090909090909,0.205054678058159
1996,0.101010101010101,0.207963067729139
1996,0.111111111111111,0.208396794523304
1996,0.121212121212121,0.206049362943322
1996,0.131313131313131,0.201763505315752
1996,0.141414141414141,0.198974224711261
1996,0.151515151515152,0.198984403385683
1996,0.161616161616162,0.204424271278924
1996,0.171717171717172,0.215160776183583
1996,0.181818181818182,0.228300294327324
1996,0.191919191919192,0.235892464969391
1996,0.202020202020202,0.238441309300317
1996,0.212121212121212,0.237006364688897
1996,0.222222222222222,0.235743242094237
1996,0.232323232323232,0.237121498369712
1996,0.242424242424242,0.244241691896698
1996,0.252525252525253,0.256359378224118
1996,0.262626262626263,0.269380552187696
1996,0.272727272727273,0.2797874868195
1996,0.282828282828283,0.290809106068861
1996,0.292929292929293,0.299226368559501
1996,0.303030303030303,0.303015598240832
1996,0.313131313131313,0.30463527929908
1996,0.323232323232323,0.308716445398035
1996,0.333333333333333,0.31752879738222
1996,0.343434343434343,0.331143526044952
1996,0.353535353535354,0.343015166683563
1996,0.363636363636364,0.342650866616806
1996,0.373737373737374,0.338981936087741
1996,0.383838383838384,0.336111107156753
1996,0.393939393939394,0.336752523967346
1996,0.404040404040404,0.339729830678502
1996,0.414141414141414,0.343753863396774
1996,0.424242424242424,0.347208509661932
1996,0.434343434343434,0.350530725944319
1996,0.444444444444444,0.351741431731505
1996,0.454545454545455,0.351517074411054
1996,0.464646464646465,0.351155275046694
1996,0.474747474747475,0.351904012129202
1996,0.484848484848485,0.353685737666611
1996,0.494949494949495,0.355440666266671
1996,0.505050505050505,0.357448780698856
1996,0.515151515151515,0.357819013498178
1996,0.525252525252525,0.357102693459568
1996,0.535353535353535,0.356630484751545
1996,0.545454545454545,0.356603605236305
1996,0.555555555555556,0.356929317272312
1996,0.565656565656566,0.356933939840037
1996,0.575757575757576,0.354139705865091
1996,0.585858585858586,0.34828449568182
1996,0.595959595959596,0.341198230533657
1996,0.606060606060606,0.333415101728025
1996,0.616161616161616,0.326689648806005
1996,0.626262626262626,0.318779843572126
1996,0.636363636363636,0.312934564114256
1996,0.646464646464647,0.314507591649446
1996,0.656565656565657,0.320845329171424
1996,0.666666666666667,0.325308685499049
1996,0.676767676767677,0.333656483530357
1996,0.686868686868687,0.342721168264713
1996,0.696969696969697,0.353093178829419
1996,0.707070707070707,0.363043724785869
1996,0.717171717171717,0.368638540661316
1996,0.727272727272727,0.368144197291872
1996,0.737373737373737,0.363357407882877
1996,0.747474747474748,0.357231470668439
1996,0.757575757575758,0.352199253618789
1996,0.767676767676768,0.34981525137173
1996,0.777777777777778,0.349070361064442
1996,0.787878787878788,0.352141630134457
1996,0.797979797979798,0.359151828982519
1996,0.808080808080808,0.372679799924424
1996,0.818181818181818,0.39057968099629
1996,0.828282828282828,0.408713054149335
1996,0.838383838383838,0.426627490092935
1996,0.848484848484849,0.444181016899231
1996,0.858585858585859,0.462703429657503
1996,0.868686868686869,0.47943515923203
1996,0.878787878787879,0.492488332497727
1996,0.888888888888889,0.501609989379704
1996,0.898989898989899,0.508451553391561
1996,0.909090909090909,0.513264517100177
1996,0.919191919191919,0.514529062861202
1996,0.929292929292929,0.512133726890542
1996,0.939393939393939,0.509451463469539
1996,0.94949494949495,0.510335691053165
1996,0.95959595959596,0.517109980367529
1996,0.96969696969697,0.534474941723675
1996,0.97979797979798,0.566397641050303
1996,0.98989898989899,0.611744267639846
1996,1,0.655738966332722
1997,0,0.166737460017468
1997,0.0101010101010101,0.168218386416525
1997,0.0202020202020202,0.165713714715923
1997,0.0303030303030303,0.161988484933212
1997,0.0404040404040404,0.15887120167509
1997,0.0505050505050505,0.157291075510909
1997,0.0606060606060606,0.156727002795248
1997,0.0707070707070707,0.163170522141521
1997,0.0808080808080808,0.17426336646948
1997,0.0909090909090909,0.188591790028068
1997,0.101010101010101,0.204685866630491
1997,0.111111111111111,0.220398763303885
1997,0.121212121212121,0.234896241187704
1997,0.131313131313131,0.246515341246457
1997,0.141414141414141,0.254292922377371
1997,0.151515151515152,0.25954646686735
1997,0.161616161616162,0.259074749497058
1997,0.171717171717172,0.254496827827899
1997,0.181818181818182,0.249290230066566
1997,0.191919191919192,0.247052832530479
1997,0.202020202020202,0.2483150806814
1997,0.212121212121212,0.251891426435211
1997,0.222222222222222,0.257251650880889
1997,0.232323232323232,0.260011750292753
1997,0.242424242424242,0.258953793263503
1997,0.252525252525253,0.254113493205907
1997,0.262626262626263,0.249771314580143
1997,0.272727272727273,0.247084227970184
1997,0.282828282828283,0.253756938454462
1997,0.292929292929293,0.250217065769451
1997,0.303030303030303,0.254451773319251
1997,0.313131313131313,0.262805721670532
1997,0.323232323232323,0.273778006592315
1997,0.333333333333333,0.283853832532169
1997,0.343434343434343,0.291471676139021
1997,0.353535353535354,0.297394584219064
1997,0.363636363636364,0.302115711372278
1997,0.373737373737374,0.30816111969316
1997,0.383838383838384,0.3176709010301
1997,0.393939393939394,0.32853078203536
1997,0.404040404040404,0.338988848446841
1997,0.414141414141414,0.347728773658774
1997,0.424242424242424,0.354450212575357
1997,0.434343434343434,0.360184516756099
1997,0.444444444444444,0.36015069466205
1997,0.454545454545455,0.34819395344778
1997,0.464646464646465,0.342029599360057
1997,0.474747474747475,0.325761820712122
1997,0.484848484848485,0.305916562056189
1997,0.494949494949495,0.289198638215105
1997,0.505050505050505,0.282646398295591
1997,0.515151515151515,0.278732125702643
1997,0.525252525252525,0.271243158858662
1997,0.535353535353535,0.266385438197874
1997,0.545454545454545,0.267433625805212
1997,0.555555555555556,0.277655143567152
1997,0.565656565656566,0.286609581508548
1997,0.575757575757576,0.286614057210952
1997,0.585858585858586,0.292221780562208
1997,0.595959595959596,0.302639264357328
1997,0.606060606060606,0.310037387020157
1997,0.616161616161616,0.31562329023627
1997,0.626262626262626,0.317540640926885
1997,0.636363636363636,0.319263375793504
1997,0.646464646464647,0.321473258328628
1997,0.656565656565657,0.323957301257642
1997,0.666666666666667,0.324344841460979
1997,0.676767676767677,0.321656976488062
1997,0.686868686868687,0.317011355571054
1997,0.696969696969697,0.315639409099111
1997,0.707070707070707,0.320501421513641
1997,0.717171717171717,0.329858707622252
1997,0.727272727272727,0.341037619816463
1997,0.737373737373737,0.350651423292548
1997,0.747474747474748,0.358515791236095
1997,0.757575757575758,0.364453080119876
1997,0.767676767676768,0.36791123931364
1997,0.777777777777778,0.372110934936671
1997,0.787878787878788,0.379230535270602
1997,0.797979797979798,0.387462099741281
1997,0.808080808080808,0.391567687396512
1997,0.818181818181818,0.394169561819659
1997,0.828282828282828,0.400660937363177
1997,0.838383838383838,0.412336359069826
1997,0.848484848484849,0.425901564920693
1997,0.858585858585859,0.438808738890759
1997,0.868686868686869,0.451659567113599
1997,0.878787878787879,0.472238024596902
1997,0.888888888888889,0.50167690081888
1997,0.898989898989899,0.531630257478537
1997,0.909090909090909,0.553494885776531
1997,0.919191919191919,0.579654699867591
1997,0.929292929292929,0.626214492923975
1997,0.939393939393939,0.692513550808898
1997,0.94949494949495,0.754106973098802
1997,0.95959595959596,0.807690432264895
